lab.id,site,unique.id,moisture.trt,temp.trt,cumulativeCO2Flux,GWC,VWC,soil.pH,Latitude,Longitude,MAT_c,MAP_mm,Elevation_m
145,BART,BART_S_T0_P02,80,25,4.854497124,62.33846894,25.06666667,4.34,44.06388,-71.28731,6.2,1325,232
146,BART,BART_S_T0_P08,80,25,5.072109784,65.80955796,20.56666667,4.21,44.06388,-71.28731,6.2,1325,232
147,BART,BART_S_T0_P11,80,25,4.61899177,46.98405036,13.56666667,4.5,44.06388,-71.28731,6.2,1325,232
148,GRSM,GRSM_S_T0_P20,80,25,5.263175004,32.57625565,14.3,4.95,35.68896,-83.50195,13.1,1375,579
149,GRSM,GRSM_S_T0_P25,80,25,4.43634039,40.36513191,21.93333333,4.89,35.68896,-83.50195,13.1,1375,579
150,GRSM,GRSM_S_T0_P27,80,25,4.753275338,29.47060356,11.63333333,4.77,35.68896,-83.50195,13.1,1375,579
151,LENO,LENO_S_T0_P15,80,25,4.870269618,27.17078109,29.93333333,5.55,31.85388,-88.16122,18.1,1386,20
152,LENO,LENO_S_T0_P31,80,25,4.642980915,34.46846645,39.63333333,5.92,31.85388,-88.16122,18.1,1386,20
153,LENO,LENO_S_T0_P36,80,25,3.887006644,25.34191314,16.23333333,5.97,31.85388,-88.16122,18.1,1386,20
154,SERC,SERC_S_T0_P10,80,25,4.067289186,25.26739853,20.9,4.71,38.89008,-76.56001,13.6,1075,15
155,SERC,SERC_S_T0_P20,80,25,4.06405849,24.55320429,16.96666667,4.49,38.89008,-76.56001,13.6,1075,15
156,SERC,SERC_S_T0_P28,80,25,4.576042766,36.15461317,47.56666667,5.67,38.89008,-76.56001,13.6,1075,15
157,TALL,TALL_S_T0_P23,80,25,3.803690577,15.47117654,8.633333333,5.27,32.95046,-87.39327,17.2,1383,135
158,TALL,TALL_S_T0_P27,80,25,2.427977077,19.36135701,32.16666667,5.14,32.95046,-87.39327,17.2,1383,135
159,TALL,TALL_S_T0_P32,80,25,4.85780983,15.10989011,5.966666667,4.99,32.95046,-87.39327,17.2,1383,135
160,TREE,TREE_S_T0_P13,80,25,4.966619174,36.94961599,28.43333333,4.41,45.49369,-89.58571,4.8,797,472
161,TREE,TREE_S_T0_P19,80,25,4.475656341,23.23692552,9.6,4.81,45.49369,-89.58571,4.8,797,472
162,TREE,TREE_S_T0_P34,80,25,3.081418067,15.7744852,4.966666667,5.03,45.49369,-89.58571,4.8,797,472
163,BART,BART_S_T0_P02,100,25,3.90553653,62.33846894,25.06666667,4.34,44.06388,-71.28731,6.2,1325,232
164,BART,BART_S_T0_P08,100,25,3.909811238,65.80955796,20.56666667,4.21,44.06388,-71.28731,6.2,1325,232
165,BART,BART_S_T0_P11,100,25,3.389234777,46.98405036,13.56666667,4.5,44.06388,-71.28731,6.2,1325,232
166,GRSM,GRSM_S_T0_P20,100,25,3.404574909,32.57625565,14.3,4.95,35.68896,-83.50195,13.1,1375,579
167,GRSM,GRSM_S_T0_P25,100,25,4.691693394,40.36513191,21.93333333,4.89,35.68896,-83.50195,13.1,1375,579
168,GRSM,GRSM_S_T0_P27,100,25,4.982932008,29.47060356,11.63333333,4.77,35.68896,-83.50195,13.1,1375,579
169,LENO,LENO_S_T0_P15,100,25,3.854615826,27.17078109,29.93333333,5.55,31.85388,-88.16122,18.1,1386,20
170,LENO,LENO_S_T0_P31,100,25,3.718130441,34.46846645,39.63333333,5.92,31.85388,-88.16122,18.1,1386,20
171,LENO,LENO_S_T0_P36,100,25,3.462862739,25.34191314,16.23333333,5.97,31.85388,-88.16122,18.1,1386,20
172,SERC,SERC_S_T0_P10,100,25,3.500831305,25.26739853,20.9,4.71,38.89008,-76.56001,13.6,1075,15
173,SERC,SERC_S_T0_P20,100,25,4.905402591,24.55320429,16.96666667,4.49,38.89008,-76.56001,13.6,1075,15
174,SERC,SERC_S_T0_P28,100,25,4.522770913,36.15461317,47.56666667,5.67,38.89008,-76.56001,13.6,1075,15
175,TALL,TALL_S_T0_P23,100,25,5.024409289,15.47117654,8.633333333,5.27,32.95046,-87.39327,17.2,1383,135
176,TALL,TALL_S_T0_P27,100,25,4.645159652,19.36135701,32.16666667,5.14,32.95046,-87.39327,17.2,1383,135
177,TALL,TALL_S_T0_P32,100,25,4.514221535,15.10989011,5.966666667,4.99,32.95046,-87.39327,17.2,1383,135
178,TREE,TREE_S_T0_P13,100,25,4.578363995,36.94961599,28.43333333,4.41,45.49369,-89.58571,4.8,797,472
179,TREE,TREE_S_T0_P19,100,25,4.775438325,23.23692552,9.6,4.81,45.49369,-89.58571,4.8,797,472
180,TREE,TREE_S_T0_P34,100,25,4.841600379,15.7744852,4.966666667,5.03,45.49369,-89.58571,4.8,797,472
181,BART,BART_S_T0_P22,20,15,0.310583699,46.6349975,17.7,4.43,44.06388,-71.28731,6.2,1325,232
182,BART,BART_S_T0_P23,20,15,0.068312304,59.05432111,25.86666667,4.27,44.06388,-71.28731,6.2,1325,232
183,BART,BART_S_T0_P26,20,15,0.071387896,65.55140671,32.33333333,5.18,44.06388,-71.28731,6.2,1325,232
184,GRSM,GRSM_S_T0_P14,20,15,0.080809316,21.96572298,8.8,4.66,35.68896,-83.50195,13.1,1375,579
185,GRSM,GRSM_S_T0_P22,20,15,0.072932626,36.78869518,24.03333333,4.59,35.68896,-83.50195,13.1,1375,579
186,GRSM,GRSM_S_T0_P26,20,15,0.088763018,54.35919371,49.6,5.3,35.68896,-83.50195,13.1,1375,579
187,LENO,LENO_S_T0_P02,20,15,0.097472989,23.10139553,19.2,5.5,31.85388,-88.16122,18.1,1386,20
188,LENO,LENO_S_T0_P08,20,15,0.138387218,23.9842933,23.83333333,5.81,31.85388,-88.16122,18.1,1386,20
189,LENO,LENO_S_T0_P12,20,15,0.112644317,48.08277783,49.7,4.87,31.85388,-88.16122,18.1,1386,20
190,SERC,SERC_S_T0_P08,20,15,0.105991143,29.04578374,31.6,5.48,38.89008,-76.56001,13.6,1075,15
191,SERC,SERC_S_T0_P09,20,15,0.084212888,30.41308729,34,4.83,38.89008,-76.56001,13.6,1075,15
192,SERC,SERC_S_T0_P19,20,15,0.119327875,28.12844298,38.93333333,6.54,38.89008,-76.56001,13.6,1075,15
193,TALL,TALL_S_T0_P08,20,15,0.149457428,36.78445904,45.4,4.61,32.95046,-87.39327,17.2,1383,135
194,TALL,TALL_S_T0_P09,20,15,0.071884015,10.92916429,6.1,4.86,32.95046,-87.39327,17.2,1383,135
195,TALL,TALL_S_T0_P29,20,15,0.272773135,5.913222753,1.533333333,4.93,32.95046,-87.39327,17.2,1383,135
196,TREE,TREE_S_T0_P04,20,15,0.083701894,32.52446265,26.4,4.5,45.49369,-89.58571,4.8,797,472
197,TREE,TREE_S_T0_P14,20,15,0.190541739,29.48843925,18.13333333,5.31,45.49369,-89.58571,4.8,797,472
198,TREE,TREE_S_T0_P15,20,15,0.160354698,20.41676753,19.23333333,4.71,45.49369,-89.58571,4.8,797,472
199,BART,BART_S_T0_P22,40,15,1.923911872,46.6349975,17.7,4.43,44.06388,-71.28731,6.2,1325,232
200,BART,BART_S_T0_P23,40,15,2.339926766,59.05432111,25.86666667,4.27,44.06388,-71.28731,6.2,1325,232
